id_parroquia,parroquia,id_zona,codigo,zona
1062c728-0946-4325-a107-2080ca551c9d,LLACAO,null,null,null
818cb734-599a-4b0b-af7d-ba35044726a7,LUDO,a2ca0809-10fa-42f5-9a00-2de682827224,1,LUDO
818cb734-599a-4b0b-af7d-ba35044726a7,LUDO,7aad1c63-9bdc-4733-8de0-b186a9c414be,2,BUENA VISTA
818cb734-599a-4b0b-af7d-ba35044726a7,LUDO,7736fed3-5c53-4e95-97a3-274a7d4a61a4,3,HATOBOLO
818cb734-599a-4b0b-af7d-ba35044726a7,LUDO,e16e3517-97cc-498f-9e33-61d1b0d058e2,4,SERRAG
66a18c62-df0a-40ce-ad09-8e6452ce8169,LUIS CORDERO VEGA,null,null,null
200dd5f1-c287-4f2b-81b4-f04175913836,LUIS GALARZA O. (DELEGSOL),null,null,null
9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,MACHANGARA,5c7a0221-2da5-4deb-beab-f51951fd1ae3,1,MACHÁNGARA
9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,MACHANGARA,bbea7cdf-e4d9-4747-aad4-b9225adf7e5a,2,CAPULISPAMBA
9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,MACHANGARA,a5eb9ff6-a5dd-4198-9776-716af0788a02,3,CHALLUABAMBA MACHANGARA
9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,MACHANGARA,3db346f1-5f18-4da9-870f-0b595ca35863,4,OCHOA LEON
9f8d01f4-2a22-4f2e-a97a-a1a1afffe340,MACHANGARA,5cd07796-ebd8-4f75-b833-75b85bd08d3d,5,QUINTA CHICA
511115a8-4cd7-4f88-9ca2-84bd2954a5c8,MARIANO MORENO/CALLASAY,cf6c6664-d877-437d-a99a-725af1810755,1,MARIANO MORENO/CALLASAY
511115a8-4cd7-4f88-9ca2-84bd2954a5c8,MARIANO MORENO/CALLASAY,489c64ef-95cf-45aa-bcc2-b355b1b5f8fc,2,CERTAG
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,5b2ca73d-1fc9-4ee4-ab38-695ca2d11f8f,1,MOLLETURO
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,a8530c70-384a-4419-9186-a648ec434049,10,CAYMATAN
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,7efe66bd-490a-434b-95ca-20418f223f46,2,JESUS DEL GRAN PODER
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,5af35ef5-a1da-4173-9609-afa90c86018c,3,ZHAGAL
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,1594ef3a-8fef-4e0e-acf1-65de724724ac,4,SAN JOSE DE RECREO
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,1d83eee8-38dd-47cc-87e8-33cee4164582,5,TAMARINDO
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,d02cc9e4-0a93-449a-b50d-3925e4334202,6,AGUAS CALIENTES
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,8dac1b06-684d-48c1-8ec0-f5ddf3611423,7,ESTERO PIEDRA
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,25d0fbb9-43ac-4d0b-b0b8-0a4ec0122830,8,ABDON CALDERÓN
d0632951-c2bf-4a67-a037-5be23348a313,MOLLETURO,7ddcfc6d-a60c-452c-aeee-046f0c0ed2a2,9,FLOR Y SELVA
7c43d25f-fe6f-426a-bbe9-c867ac6c0df1,MONAY,null,null,null
87420866-8947-4d86-aa35-6a3a26e8b3db,MULTI /  NULTI,dfe70251-74e7-444d-94b3-9ce94b15e7d1,1,MULTI /  NULTI
87420866-8947-4d86-aa35-6a3a26e8b3db,MULTI /  NULTI,4e82ee47-253b-484d-9304-2afe301e1a24,2,CHALLUABAMBA NULTI
c5313eb8-e297-4dc8-b23c-9f0102ac48a1,NABON,74de02a9-0154-4aed-aa1b-7f584f989cb2,1,NABON
c5313eb8-e297-4dc8-b23c-9f0102ac48a1,NABON,48fabca4-5100-4f9b-aa07-4af6afe70d0e,2,ZHIÑA
c5313eb8-e297-4dc8-b23c-9f0102ac48a1,NABON,63272c31-0483-4bae-a367-62b4a3812f19,3,RAÑAS
c5313eb8-e297-4dc8-b23c-9f0102ac48a1,NABON,5b85a3d7-1127-4988-990b-7949b9ea9a21,4,CHUNASANA
17d6d7bc-ccab-44f6-b28b-9e7ec8da5f47,NIEVES,65d18012-b449-41fa-97a7-e4a3441f58da,1,LAS NIEVES
17d6d7bc-ccab-44f6-b28b-9e7ec8da5f47,NIEVES,fec03d5c-0f38-4923-a727-cddcaea22dad,2,LA PAZ
0906f81a-37fa-48a2-a4f9-1150cf7fb5bd,OCTAVIO CORDERO PALACIOS,null,null,null
6376f641-aff9-4042-a3ba-bb2584cde85e,OÑA,106e8523-a953-427b-b057-5a789f9c0214,1,OÑA
6376f641-aff9-4042-a3ba-bb2584cde85e,OÑA,2b7c8f1c-d7ec-4205-9462-8d28979f50f1,2,MORAS LOMA
f252dd10-4191-4e3c-8d31-4b90d2228240,PACCHA,null,null,null
