NOMBRE CANTON,NOMBRE PARROQUIA,CODIGO ZONA,NOMBRE ZONA,NOMBRE RECINTO,JUN FEM,JUN MAS,NUM JUNR,JUN INIF,JUN FINF,JUN INIM,JUN FINM
GUALACEO,DANIEL CORDOVA TORAL,0,,ESCUELA DE EDUCACIÓN BÁSICA MARIANO CUEVA,2,2,4,1,2,1,2
GUALACEO,GUALACEO,1,GUALACEO,UNIDAD EDUCATIVA ALFONSO LITUMA/COLEGIO ALFONSO LITUMA CORREA,7,7,14,12,18,12,18
GUALACEO,GUALACEO,1,GUALACEO,UNIDAD  EDUCATIVA MIGUEL MALO GONZALEZ,6,6,12,6,11,6,11
GUALACEO,GUALACEO,1,GUALACEO,ESCUELA DE EDUCACION BASICA BRASIL,4,4,8,19,22,19,22
GUALACEO,GUALACEO,1,GUALACEO,ESCUELA DE EDUCACIÓN BÁSICA MERCEDES DE JESÚS MOLINA,4,4,8,23,26,23,26
GUALACEO,GUALACEO,1,GUALACEO,UNIDAD EDUCATIVA SANTO DOMINGO DE GUZMAN,5,5,10,1,5,1,5
GUALACEO,GUALACEO,1,GUALACEO,UNIDAD EDUCATIVA GUALACEO,7,1,8,27,33,27,27
GUALACEO,GUALACEO,2,BULLCAY,ESCUELA DE EDUCACION BASICA LUIS CORDERO DAVILA,1,1,2,1,1,1,1
GUALACEO,JADAN,1,JADAN,ESCUELA DE EDUCACION BASICA TADEO TORRES,5,4,9,1,5,1,4
GUALACEO,JADAN,3,EL CARMEN,ESCUELA DE EDUCACION BASICA FEDERICO GUERRERO,1,1,2,1,1,1,1
GUALACEO,JADAN,2,SANTA ROSA DE CHICHIN,ESCUELA DE EDUCACION BASICA TERESA MORALES VILLAVICENCIO,1,1,2,1,1,1,1
