Nombre,Parroquia,Zona,M_Desde,M_Hasta,F_Desde,F_Hasta
UNIVERSIDAD CATOLICA DE CUENCA- UNIDAD ACADEMICA DE CIENCIAS SOCIALES,8aa86df2-9eec-4de8-8de8-05f82cf9f8ed,,26,26,26,31
UNIDAD EDUCATIVA SAN JOAQUIN/ESCUELA RAFAEL MARIA ARIZAGA,1c283ef6-26b1-4a7c-a0cc-27c603b196e8,b4ea43a4-0835-4607-96ed-44df1dbcfd05,1,7,1,7
ESCUELA DE EDUCACION BASICA GENERAL ANTONIO FARFAN,1c283ef6-26b1-4a7c-a0cc-27c603b196e8,b4ea43a4-0835-4607-96ed-44df1dbcfd05,8,12,8,13
UNIDAD EDUCATIVA EDUARDO CRESPO MALO/ESCUELA DE EDUCACION BASICA EDUARDO CRESPO MALO,1c283ef6-26b1-4a7c-a0cc-27c603b196e8,4385d062-63a3-4c09-963e-ba38b762dc09,1,1,1,1
UNIDAD EDUCATIVA ECUADOR,dfdee187-e154-4700-98b8-6edf92e4b95f,0475138f-a759-49d6-9be5-cb8fd585a9ea,11,20,11,20
UNIDAD EDUCATIVA SAGRADOS CORAZONES,dfdee187-e154-4700-98b8-6edf92e4b95f,0475138f-a759-49d6-9be5-cb8fd585a9ea,1,10,1,10
COLEGIO DE BACHILLERATO CIUDAD DE CUENCA,dfdee187-e154-4700-98b8-6edf92e4b95f,0475138f-a759-49d6-9be5-cb8fd585a9ea,31,38,31,38
UNIDAD EDUCATIVA VICTOR GERARDO AGUILAR/ESCUELA REMIGIO CRESPO,dfdee187-e154-4700-98b8-6edf92e4b95f,0475138f-a759-49d6-9be5-cb8fd585a9ea,21,30,21,30
ESCUELA DE EDUCACION BASICA ULISES CHACON,dfdee187-e154-4700-98b8-6edf92e4b95f,0475138f-a759-49d6-9be5-cb8fd585a9ea,39,42,39,42
UNIDAD EDUCATIVA LAS PENCAS,dfdee187-e154-4700-98b8-6edf92e4b95f,0475138f-a759-49d6-9be5-cb8fd585a9ea,43,44,43,50
ESCUELA DE EDUCACION BASICA EMILIO MURILLO,dfdee187-e154-4700-98b8-6edf92e4b95f,1a9b77cc-b9a1-4104-9547-cbc35286fa7e,1,2,1,2
ESCUELA DE EDUCACION BASICA ALFONSO MARIA BORRERO,46ccec71-18d5-4dcb-85af-2c4c9524a335,,1,4,1,5
UNIDAD EDUCATIVA DANIEL HERMIDA,46ccec71-18d5-4dcb-85af-2c4c9524a335,,5,7,6,9
UNIDAD EDUCATIVA DEL MILENIO UEM SAYAUSI,0c67f239-d9ff-4210-955e-8dacc299bbbb,85d86c05-194c-47a1-af81-45491b96b271,1,10,1,10
ESCUELA DE EDUCACION BASICA GENERAL JESUS VASQUEZ OCHOA,0c67f239-d9ff-4210-955e-8dacc299bbbb,85d86c05-194c-47a1-af81-45491b96b271,11,15,11,16
